code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
300109	新开源	化工I	372	48.7834	43.9651	51.3493	270	1.5543	62	4.6784	262	29.13	259	3	162	1.3507	125	0.1588
300110	华仁药业	医药生物I	361	53.0814	52.8847	46.7327	187	2.3246	82	2.1201	65	369.01	11	-48.98	350	1.7382	277	0.019
300111	向日葵	电气设备I	221	31.0185	30.9475	59.9372	158	19.8964	198	11.5746	188	-27.11	219	14.15	27	1.923	131	-0.0773
300112	万讯自控	机械设备I	415	23.7885	17.9051	23.6062	104	2.3487	134	3.0092	151	63.89	174	-9.58	217	1.2079	72	0.0321
300113	顺网科技	传媒I	148	91.7153	63.9162	90.8872	84	3.7177	67	8.6599	82	6.5	104	20.67	27	1.1872	22	0.1268
300114	中航电测	机械设备I	415	74.3177	74.3177	27.6196	134	3.8265	266	4.0114	202	28.69	294	-19.74	274	1.4719	174	0.0947
300115	长盈精密	电子I	309	185.859	168.2375	28.3553	77	2.7231	78	1.8059	49	28.14	234	3.78	152	2.1509	244	0.0522
300117	嘉寓股份	建筑材料I	71	24.0115	24.0115	23.0575	41	1.6685	26	1.0862	18	62.68	41	1.64	31	3.4749	69	-0.0602
300118	东方日升	电气设备I	221	117.5373	117.2878	261.1367	195	1.3828	17	0.7141	12	11.44	195	6	49	2.982	206	0.017
300119	瑞普生物	农林牧渔I	83	138.3313	86.3186	31.3378	29	5.73	62	6.5672	59	23.35	50	7.36	31	1.4514	22	0.1734
300120	经纬辉开	电子I	309	40.6419	33.2367	50.4684	174	1.6294	15	1.2262	28	38.28	208	-5.91	213	1.6142	159	0.0154
300121	阳谷华泰	化工I	372	48.1294	46.2234	22.9696	138	2.7584	193	2.2659	152	44.3	206	6.51	128	1.3726	131	0.1482
300122	智飞生物	医药生物I	361	3168.8	1783.1809	85.1109	245	34.4928	311	19.2254	264	49.04	134	-2.9	271	1.8644	296	0.24
300123	亚光科技	国防军工I	85	98.3448	96.3973	393.7781	79	1.9142	9	5.6724	34	-18.02	80	-16.39	40	1.5933	52	0.0483
300124	汇川技术	电气设备I	221	1567.5279999999998	1281.9489	60.9003	161	13.8202	194	11.7185	189	120.53	34	8.1	46	1.7032	92	0.1831
300126	锐奇股份	机械设备I	415	19.6053	13.5877	112.3061	340	1.8999	84	3.8851	194	89.1	110	-19.59	272	1.2607	100	0.0575
300127	银河磁体	有色金属I	124	51.1218	35.9931	32.3377	49	4.1707	80	7.8594	93	33.68	95	12.67	25	1.0517	1	0.2394
300128	锦富技术	电子I	309	37.5282	37.5168	137.9963	261	3.1064	104	2.7125	101	7.87	279	14.66	77	1.788	186	-0.0612
300129	泰胜风能	电气设备I	221	44.6594	35.107	10.8847	8	1.6748	37	1.207	34	37.5	147	-14.95	123	1.753	104	0.1975
300130	新国都	计算机I	257	54.7901	39.7946	57.3222	144	2.3233	49	1.9282	27	42.17	116	11.42	26	1.4616	145	0.0535
300131	英唐智控	电子I	309	68.5566	54.2293	20.3352	32	4.6129	196	0.6849	10	-20.82	302	3.04	160	2.6023	279	0.0176
300132	青松股份	化工I	372	111.8398	99.6171	23.8902	143	3.4657	238	2.7880000000000003	179	20.69	303	11.78	75	1.5094	175	0.1053
300133	华策影视	传媒I	148	116.916	89.0581	27.4167	41	1.8058	35	2.6749	35	83.86	24	37.25	17	1.4939	65	0.0921
300134	大富科技	通信I	105	67.9236	63.049	182.5323	81	1.3608	8	3.0265	37	12.24	82	6.21	33	1.2464	32	-0.0374
300135	宝利国际	化工I	372	21.6576	21.6576	866.3993	348	1.7514	88	1.0005	42	82.54	94	2.4	168	2.0394	290	-0.0332
300136	信维通信	电子I	309	254.6641	214.8524	24.8475	54	4.5172	190	3.658	142	54.4	160	26.2	34	1.8914	205	0.0634
300137	先河环保	公用事业I	180	42.5397	36.7588	31.5553	117	2.0432	103	3.3576	107	10.96	142	-71.07	170	1.1555	4	0.0588
300138	晨光生物	农林牧渔I	83	76.5063	61.3808	26.8306	25	3.029	39	1.8269	30	37.29	40	35.98	8	1.8232	44	0.0692
300142	沃森生物	医药生物I	361	1010.8171	969.9673	95.9518	256	14.3215	289	31.0028	295	286.45	17	-32.42	340	1.2229	104	0.173
300143	盈康生命	医药生物I	361	146.093	118.3889	96.5608	258	6.7263	236	21.0718	275	32.17	182	36.93	32	1.2674	125	-0.0741
