date==dltp3l=2022-04-13  ma_n= 20
day industry code name turnover_ratio pe_ratio industry_cnt inc_revenue_year_rank inc_revenue_annual_rank cfo_sales_rank leverage_ratio_rank
dltp-00-2022-04-13 002142 32.02 2022-03-15 36.3 2022-03-24 35.89 2022-03-28 39.7 2022-04-11 0 false
dltp-00-2022-04-13 002144 9.27 2022-03-15 10.03 2022-03-22 9.81 2022-03-24 11.1 2022-04-12 0 false
dltp-00-2022-04-13 002159 10.58 2022-03-24 11.48 2022-04-06 10.71 2022-04-11 11.78 2022-04-12 0 false
dltp-00-2022-04-13 002186 8.23 2022-03-15 8.94 2022-03-21 8.8 2022-03-24 9.8 2022-04-12 0 false
dltp-00-2022-04-13 002204 3.66 2022-03-15 4.09 2022-04-06 3.89 2022-04-11 4.07 2022-04-12 0 false
dltp-00-2022-04-13 002215 5.97 2022-03-15 6.3 2022-03-16 6.28 2022-03-17 6.88 2022-03-29 0 false
dltp-00-2022-04-13 002216 14.62 2022-03-24 15.24 2022-04-06 14.69 2022-04-08 15.99 2022-04-13 0 false
dltp-00-2022-04-13 002264 4.27 2022-03-15 4.8 2022-03-21 4.57 2022-03-29 5.24 2022-04-12 0 false
dltp-00-2022-04-13 002267 5.86 2022-03-15 6.44 2022-04-06 6.16 2022-04-11 6.71 2022-04-13 0 false
dltp-00-2022-04-13 002278 5.38 2022-03-15 6.2 2022-03-21 6.09 2022-03-23 6.44 2022-04-12 0 false
dltp-00-2022-04-13 002295 6.48 2022-03-15 7.08 2022-04-06 6.75 2022-04-11 7.01 2022-04-12 0 false
dltp-00-2022-04-13 002319 12.46 2022-03-16 13 2022-03-25 12.88 2022-03-30 14.41 2022-04-13 0 false
dltp-00-2022-04-13 002336 6.35 2022-03-15 7.4 2022-03-21 6.75 2022-03-24 7.57 2022-04-12 0 false
dltp-00-2022-04-13 002342 3.66 2022-03-15 4.05 2022-04-06 3.84 2022-04-11 4.06 2022-04-12 0 false
dltp-00-2022-04-13 002344 4.1 2022-03-15 4.44 2022-03-28 4.4 2022-03-29 4.67 2022-04-06 0 false
dltp-00-2022-04-13 002352 42.82 2022-03-29 49.06 2022-04-06 47.63 2022-04-07 52.5 2022-04-13 0 false
dltp-00-2022-04-13 002357 5.51 2022-03-30 5.91 2022-04-06 5.55 2022-04-11 5.87 2022-04-13 0 false
dltp-00-2022-04-13 002358 2.56 2022-03-15 2.8 2022-03-22 2.72 2022-03-28 3.06 2022-04-11 0 false
dltp-00-2022-04-13 002431 2.97 2022-03-15 3.27 2022-03-22 3.19 2022-03-24 3.5 2022-04-12 0 false
dltp2022-04-13 002432 58.9 2022-03-22 80.5 2022-03-30 63.08 2022-04-08 81.92 2022-04-13 0 true
dltp-00-2022-04-13 002443 7.36 2022-03-15 7.98 2022-04-06 7.7 2022-04-07 8.34 2022-04-12 0 false
dltp-00-2022-04-13 002457 9.05 2022-03-04 11.13 2022-03-21 9.87 2022-04-01 11.31 2022-04-12 0 false
dltp-00-2022-04-13 002468 7.17 2022-03-15 7.6 2022-04-06 7.32 2022-04-08 7.85 2022-04-13 0 false
dltp-00-2022-04-13 002470 2.65 2022-03-28 2.72 2022-03-29 2.65 2022-04-06 2.77 2022-04-08 0 false
dltp-00-2022-04-13 002478 4 2022-03-15 4.4 2022-03-18 4.34 2022-03-21 4.68 2022-04-06 0 false
dltp-00-2022-04-13 002492 5.85 2022-03-15 6.39 2022-03-23 6.07 2022-03-30 6.94 2022-04-13 0 false
dltp-00-2022-04-13 002500 5.36 2022-03-15 5.74 2022-04-06 5.5 2022-04-11 5.69 2022-04-12 0 false
dltp-00-2022-04-13 002501 1.71 2022-03-25 1.75 2022-04-06 1.73 2022-04-07 1.81 2022-04-08 0 false
dltp-00-2022-04-13 002507 28.87 2022-03-15 32.59 2022-03-23 31.4 2022-03-25 34.32 2022-04-12 0 false
dltp-00-2022-04-13 002523 2.73 2022-03-24 2.78 2022-03-28 2.74 2022-03-29 2.91 2022-04-12 0 false
dltp-00-2022-04-13 002562 4.56 2022-03-17 5.4 2022-03-21 5.09 2022-03-24 5.43 2022-04-12 0 false
dltp-00-2022-04-13 002574 4.96 2022-03-24 5.17 2022-04-06 5 2022-04-11 5.25 2022-04-12 0 false
dltp2022-04-13 002575 4.07 2022-03-15 4.42 2022-03-23 4.19 2022-03-29 4.61 2022-04-13 1 false
dltp-00-2022-04-13 002638 1.82 2022-03-15 2 2022-03-22 1.91 2022-03-31 2.05 2022-04-12 0 false
dltp-00-2022-04-13 002639 9.72 2022-03-15 13.5 2022-03-23 11.05 2022-04-01 13.38 2022-04-12 0 false
dltp-00-2022-04-13 002660 7.56 2022-03-29 8.28 2022-04-06 7.77 2022-04-11 8.55 2022-04-12 0 false
dltp-00-2022-04-13 002661 10.77 2022-03-15 11.91 2022-03-29 11.17 2022-04-08 12 2022-04-13 0 false
dltp-00-2022-04-13 002682 4.44 2022-03-15 5.34 2022-03-22 4.86 2022-03-31 5.4 2022-04-12 0 false
dltp-00-2022-04-13 002692 3.08 2022-01-27 3.5 2022-02-18 3.15 2022-03-15 3.9 2022-04-12 0 false
dltp-00-2022-04-13 002695 10.62 2022-03-15 11.55 2022-04-06 11.1 2022-04-08 12.2 2022-04-13 0 false
dltp-00-2022-04-13 002702 5.03 2022-03-15 6.16 2022-03-28 5.43 2022-04-08 6.2 2022-04-12 0 false
dltp-00-2022-04-13 002716 2.89 2022-03-31 3.01 2022-04-08 2.99 2022-04-11 3.06 2022-04-13 0 false
dltp-00-2022-04-13 002726 8.57 2022-02-07 9.36 2022-03-01 8.91 2022-03-15 9.77 2022-03-30 0 false
dltp-00-2022-04-13 002736 9.58 2022-03-15 10.09 2022-04-06 9.77 2022-04-11 10.01 2022-04-12 0 false
dltp-00-2022-04-13 002740 3.8 2022-03-15 4.16 2022-03-28 4.05 2022-04-01 4.37 2022-04-13 0 false
dltp-00-2022-04-13 002749 8.33 2022-03-15 9.43 2022-03-29 9.23 2022-03-30 10.17 2022-04-12 0 false
dltp-00-2022-04-13 002776 2.6 2022-03-01 3.25 2022-03-10 2.87 2022-03-21 3.5 2022-04-12 0 false
dltp-00-2022-04-13 002783 7.51 2022-03-15 8.29 2022-04-06 8.06 2022-04-07 8.94 2022-04-11 0 false
dltp-00-2022-04-13 002841 63.41 2022-03-29 68.76 2022-04-08 67.13 2022-04-11 70.91 2022-04-12 0 false
dltp-00-2022-04-13 002856 10.3 2022-03-15 11.5 2022-03-22 10.82 2022-03-29 12.34 2022-04-06 0 false
dltp-00-2022-04-13 002861 11.61 2022-03-15 12.57 2022-03-21 11.88 2022-03-29 14.3 2022-04-13 0 false
dltp-00-2022-04-13 002883 11.11 2022-04-01 11.44 2022-04-06 11.19 2022-04-07 11.88 2022-04-12 0 false
dltp-00-2022-04-13 002888 10.85 2022-03-15 11.78 2022-03-23 11.33 2022-03-29 12.66 2022-04-12 0 false
dltp-00-2022-04-13 002895 20.38 2022-03-15 22.95 2022-03-30 20.94 2022-03-31 25.2 2022-04-11 0 false
dltp-00-2022-04-13 002909 6.19 2022-03-15 6.58 2022-03-21 6.43 2022-03-25 7.1 2022-04-08 0 false
dltp-00-2022-04-13 002919 26.29 2022-03-16 29.05 2022-03-31 26.93 2022-04-11 31.4 2022-04-13 0 false
dltp-00-2022-04-13 002926 7.95 2022-03-15 8.5 2022-04-06 8.27 2022-04-07 8.48 2022-04-12 0 false
dltp2022-04-13 002939 9.25 2022-03-29 9.86 2022-04-06 9.36 2022-04-11 10.06 2022-04-13 1 false
dltp2022-04-13 002940 34.42 2022-03-09 36.34 2022-03-11 34.67 2022-03-15 38.59 2022-04-08 3 false
dltp-00-2022-04-13 002941 11.4 2022-01-28 17.01 2022-03-10 14.17 2022-03-29 18.86 2022-04-11 0 false
dltp-00-2022-04-13 002942 16.81 2022-03-28 17.53 2022-04-06 17.18 2022-04-07 18.5 2022-04-13 0 false
dltp-00-2022-04-13 002949 14.85 2022-03-29 15.41 2022-03-31 14.96 2022-04-01 16.5 2022-04-11 0 false
dltp-00-2022-04-13 002968 30.51 2022-03-15 34.15 2022-03-23 33.16 2022-03-25 37.55 2022-04-07 0 false
dltp-00-2022-04-13 003002 12.25 2022-03-15 13.11 2022-03-31 12.36 2022-04-01 14.47 2022-04-11 0 false
dltp-00-2022-04-13 003023 23.34 2022-03-15 25.06 2022-04-06 23.93 2022-04-11 24.83 2022-04-12 0 false
dltp-00-2022-04-13 003032 14.2 2022-03-15 15.79 2022-03-28 14.82 2022-03-31 16.8 2022-04-12 0 false
dltp-00-2022-04-13 600004 12.25 2022-03-31 12.82 2022-04-01 12.43 2022-04-11 13.31 2022-04-12 0 false
dltp-00-2022-04-13 600018 5.31 2022-03-08 5.72 2022-03-16 5.41 2022-03-29 6.27 2022-04-08 0 false
dltp-00-2022-04-13 600020 3.08 2022-03-15 3.22 2022-03-28 3.17 2022-03-29 3.43 2022-04-12 0 false
dltp-00-2022-04-13 600054 9.43 2022-03-15 11.6 2022-03-30 10.72 2022-04-11 11.69 2022-04-12 0 false
dltp-00-2022-04-13 600057 7.89 2022-03-17 8.42 2022-03-22 8.32 2022-03-23 9.34 2022-04-13 0 false
dltp-00-2022-04-13 600061 6.7 2022-03-15 7.16 2022-04-06 6.97 2022-04-11 7.17 2022-04-12 0 false
dltp-00-2022-04-13 600073 6.69 2022-03-15 7.59 2022-04-06 7.21 2022-04-08 7.93 2022-04-11 0 false
dltp-00-2022-04-13 600117 3.43 2022-03-15 3.82 2022-03-22 3.63 2022-03-29 3.89 2022-04-08 0 false
dltp-00-2022-04-13 600119 7.47 2022-03-15 8.56 2022-04-06 8.07 2022-04-08 9 2022-04-13 0 false
dltp-00-2022-04-13 600122 1.76 2022-03-14 1.98 2022-03-21 1.82 2022-04-01 2.05 2022-04-08 0 false
dltp-00-2022-04-13 600123 9.46 2022-01-28 13.15 2022-03-07 10.69 2022-03-16 14.86 2022-04-13 0 false
dltp-00-2022-04-13 600177 6.19 2022-03-15 6.67 2022-03-18 6.54 2022-03-21 6.98 2022-04-12 0 false
dltp-00-2022-04-13 600180 6.51 2022-03-15 7.17 2022-04-06 6.8 2022-04-08 7.57 2022-04-13 0 false
dltp-00-2022-04-13 600229 6.77 2022-03-25 7.01 2022-03-29 6.8 2022-03-30 7.13 2022-04-06 0 false
dltp-00-2022-04-13 600238 12.15 2022-03-15 13.37 2022-04-08 12.53 2022-04-11 14.18 2022-04-13 0 false
dltp-00-2022-04-13 600249 5.81 2022-04-07 6.01 2022-04-08 5.82 2022-04-11 6.14 2022-04-12 0 false
dltp-00-2022-04-13 600256 5.77 2022-01-28 8.13 2022-03-03 6.8 2022-03-15 9.06 2022-04-13 0 false
dltp-00-2022-04-13 600269 3.34 2022-03-15 3.65 2022-03-28 3.48 2022-03-30 3.68 2022-04-12 0 false
dltp-00-2022-04-13 600282 3.43 2022-03-15 3.77 2022-03-22 3.53 2022-03-29 3.92 2022-04-08 0 false
dltp-00-2022-04-13 600283 11.8 2022-03-15 13.04 2022-03-21 12.28 2022-03-24 14.16 2022-04-12 0 false
dltp-00-2022-04-13 600295 21.45 2022-01-27 28.42 2022-03-07 22.19 2022-03-16 31.6 2022-04-11 0 false
dltp-00-2022-04-13 600311 1.6 2022-03-15 1.66 2022-04-06 1.64 2022-04-07 1.71 2022-04-13 0 false
dltp-00-2022-04-13 600321 1.91 2022-01-27 2.38 2022-02-17 1.96 2022-03-15 2.44 2022-04-06 0 false
dltp-00-2022-04-13 600346 19.27 2022-03-09 21.09 2022-04-01 20.98 2022-04-06 23.6 2022-04-11 0 false
dltp-00-2022-04-13 600348 10.24 2022-03-15 11.82 2022-03-22 11.61 2022-03-23 12.88 2022-04-13 0 false
dltp-00-2022-04-13 600354 5.34 2022-03-15 6.04 2022-03-21 5.84 2022-03-23 6.86 2022-04-11 0 false
dltp-00-2022-04-13 600356 6.85 2022-03-15 7.44 2022-03-28 7.33 2022-03-29 7.55 2022-04-06 0 false
dltp-00-2022-04-13 600361 4.98 2022-03-15 5.42 2022-04-06 5.1 2022-04-11 5.55 2022-04-12 0 false
dltp-00-2022-04-13 600367 19.98 2022-03-15 24.47 2022-03-25 20.97 2022-03-29 25.9 2022-04-08 0 false
dltp-00-2022-04-13 600369 4.17 2022-03-15 4.44 2022-04-06 4.27 2022-04-11 4.41 2022-04-12 0 false
dltp-00-2022-04-13 600377 8.25 2022-03-15 8.6 2022-04-06 8.41 2022-04-11 8.61 2022-04-12 0 false
dltp-00-2022-04-13 600378 33.84 2022-02-15 39.42 2022-02-28 34.23 2022-03-15 41.65 2022-03-24 0 false
dltp-00-2022-04-13 600419 12.11 2022-03-15 13.82 2022-04-01 13.07 2022-04-11 13.71 2022-04-12 0 false
dltp2022-04-13 600420 9.28 2022-03-16 11.92 2022-03-22 10.02 2022-04-11 11.06 2022-04-13 1 false
dltp-00-2022-04-13 600426 30.54 2022-03-15 33 2022-03-29 32.39 2022-03-30 34.19 2022-04-11 0 false
dltp-00-2022-04-13 600444 12.34 2022-03-15 14.2 2022-03-23 12.76 2022-04-01 14.4 2022-04-08 0 false
dltp-00-2022-04-13 600448 3.3 2022-03-09 3.71 2022-03-14 3.42 2022-03-23 3.78 2022-04-13 0 false
dltp-00-2022-04-13 600462 2.1 2022-03-15 2.28 2022-03-25 2.2 2022-03-29 2.3 2022-04-08 0 false
dltp-00-2022-04-13 600467 2.68 2022-03-15 3 2022-03-21 2.91 2022-03-24 3.2 2022-04-06 0 false
dltp2022-04-13 600476 11.97 2022-03-15 13.15 2022-03-21 12.62 2022-03-24 14.3 2022-04-13 1 false
dltp-00-2022-04-13 600478 4.98 2022-03-15 5.77 2022-03-23 5.32 2022-03-31 6.35 2022-04-11 0 false
dltp-00-2022-04-13 600486 103.67 2022-03-09 120.19 2022-03-14 112.99 2022-03-23 132 2022-04-08 0 false
dltp-00-2022-04-13 600493 5.4 2022-01-27 6.17 2022-03-03 5.45 2022-03-15 6.27 2022-04-06 0 false
dltp-00-2022-04-13 600496 4.45 2022-03-25 4.51 2022-03-28 4.46 2022-03-29 4.98 2022-04-11 0 false
dltp-00-2022-04-13 600497 4.53 2022-03-15 5.35 2022-03-24 5.15 2022-03-31 5.76 2022-04-13 0 false
dltp-00-2022-04-13 600506 11.81 2022-03-24 11.93 2022-03-29 11.86 2022-03-30 12.95 2022-04-12 0 false
dltp-00-2022-04-13 600507 7.34 2022-03-15 8.6 2022-03-18 8.13 2022-03-25 8.96 2022-04-06 0 false
dltp-00-2022-04-13 600519 1603 2022-03-15 1752.19 2022-03-23 1660.8 2022-03-28 1784 2022-04-08 0 false
dltp-00-2022-04-13 600531 5.39 2022-04-07 5.49 2022-04-08 5.41 2022-04-11 5.61 2022-04-13 0 false
dltp-00-2022-04-13 600540 5.05 2022-03-15 6.15 2022-03-29 5.57 2022-04-08 6.12 2022-04-13 0 false
dltp-00-2022-04-13 600557 10.12 2021-12-08 14.56 2022-01-11 10.29 2022-02-22 16.18 2022-04-12 0 false
dltp-00-2022-04-13 600561 5.67 2022-03-30 6.08 2022-04-06 5.74 2022-04-11 6.08 2022-04-13 0 false
dltp-00-2022-04-13 600573 9.57 2022-03-29 10.6 2022-04-06 10.2 2022-04-11 11.17 2022-04-13 0 false
dltp-00-2022-04-13 600575 3.2 2022-03-17 3.41 2022-03-22 3.24 2022-03-25 3.4 2022-04-08 0 false
dltp-00-2022-04-13 600582 4.02 2022-02-15 4.59 2022-03-07 4.16 2022-03-16 5.01 2022-03-23 0 false
dltp-00-2022-04-13 600595 3.98 2022-03-15 4.28 2022-03-21 4.13 2022-03-31 4.46 2022-04-13 0 false
dltp-00-2022-04-13 600596 26.22 2022-03-31 27.19 2022-04-01 26.9 2022-04-06 28.3 2022-04-08 0 false
dltp-00-2022-04-13 600598 13.14 2022-01-27 15.27 2022-03-03 13.18 2022-03-16 16 2022-04-13 0 false
dltp-00-2022-04-13 600610 13.2 2022-03-28 13.8 2022-03-29 13.21 2022-03-31 14.55 2022-04-08 0 false
dltp-00-2022-04-13 600650 9.41 2022-03-09 10.11 2022-03-11 9.42 2022-03-15 10.97 2022-04-13 0 false
dltp-00-2022-04-13 600705 3.76 2022-03-15 3.92 2022-03-16 3.9 2022-03-17 4.23 2022-04-06 0 false
dltp-00-2022-04-13 600710 5.85 2022-04-07 5.9 2022-04-08 5.86 2022-04-11 6.09 2022-04-13 0 false
dltp-00-2022-04-13 600719 3.65 2022-03-15 4.11 2022-04-06 3.9 2022-04-11 4.09 2022-04-12 0 false
dltp-00-2022-04-13 600721 7.3 2022-03-16 8.36 2022-03-24 7.9 2022-03-28 9.22 2022-04-11 0 false
dltp-00-2022-04-13 600722 5.42 2022-03-15 6.11 2022-03-25 6.01 2022-03-28 6.35 2022-04-08 0 false
dltp-00-2022-04-13 600726 2.4 2022-03-24 2.51 2022-04-06 2.42 2022-04-11 2.62 2022-04-12 0 false
dltp-00-2022-04-13 600727 9.05 2022-03-28 9.79 2022-03-29 9.44 2022-03-30 10.39 2022-04-11 0 false
dltp-00-2022-04-13 600740 5.2 2022-01-28 6.45 2022-03-07 5.22 2022-03-15 6.86 2022-04-13 0 false
dltp-00-2022-04-13 600746 12.77 2022-03-09 13.61 2022-03-24 13.18 2022-03-29 14.2 2022-04-13 0 false
dltp-00-2022-04-13 600753 13.11 2022-01-27 16.09 2022-03-03 13.76 2022-03-09 18 2022-03-25 0 false
dltp-00-2022-04-13 600754 45.72 2022-03-15 51.83 2022-04-01 49.1 2022-04-11 54.01 2022-04-12 0 false
dltp-00-2022-04-13 600768 8.88 2022-03-15 9.87 2022-04-07 9.62 2022-04-11 10.24 2022-04-12 0 false
dltp-00-2022-04-13 600778 4.4 2022-02-24 5.14 2022-03-18 4.75 2022-04-08 5.8 2022-04-13 0 false
dltp-00-2022-04-13 600790 3.23 2022-01-27 3.75 2022-03-03 3.34 2022-03-15 3.97 2022-04-06 0 false
dltp-00-2022-04-13 600792 4.13 2022-03-31 4.32 2022-04-08 4.13 2022-04-11 4.62 2022-04-13 0 false
dltp-00-2022-04-13 600811 3.07 2022-03-15 3.33 2022-03-21 3.18 2022-03-24 3.43 2022-03-29 0 false
dltp-00-2022-04-13 600814 6.27 2022-01-25 8.09 2022-02-16 6.59 2022-03-15 8.47 2022-04-12 0 false
dltp-00-2022-04-13 600827 9.85 2022-03-15 11.01 2022-03-22 10.65 2022-03-29 12.51 2022-04-12 0 false
dltp2022-04-13 600834 8.25 2022-03-15 9.05 2022-04-06 8.55 2022-04-11 8.96 2022-04-13 1 false
dltp-00-2022-04-13 600848 12.6 2022-03-15 13.69 2022-03-28 13.6 2022-03-29 14.69 2022-04-06 0 false
dltp-00-2022-04-13 600854 4.42 2022-03-15 5.09 2022-03-25 4.89 2022-03-30 5.14 2022-04-13 0 false
dltp-00-2022-04-13 600858 4.6 2022-03-15 4.94 2022-03-22 4.84 2022-03-24 5.61 2022-04-12 0 false
dltp-00-2022-04-13 600870 4.23 2022-03-15 4.5 2022-03-25 4.34 2022-03-30 4.88 2022-04-07 0 false
dltp-00-2022-04-13 600874 6.35 2022-03-16 7.21 2022-03-22 6.79 2022-03-30 7.73 2022-04-08 0 false
dltp-00-2022-04-13 600936 3.03 2022-03-15 3.41 2022-03-28 3.28 2022-03-30 3.78 2022-04-12 0 false
dltp-00-2022-04-13 600962 9.61 2022-04-01 10.11 2022-04-06 9.87 2022-04-11 10.18 2022-04-12 0 false
dltp2022-04-13 600969 7.05 2022-03-15 8.21 2022-03-31 7.59 2022-04-11 8.54 2022-04-13 1 false
dltp-00-2022-04-13 600971 6.19 2022-01-28 7.47 2022-03-07 6.53 2022-03-15 8.1 2022-04-13 0 false
dltp-00-2022-04-13 600985 11.25 2022-01-28 14.42 2022-03-10 12.45 2022-03-15 16.23 2022-04-01 0 false
dltp-00-2022-04-13 600996 7.63 2022-03-15 8.78 2022-03-28 8.19 2022-03-30 9.58 2022-04-12 0 false
dltp-00-2022-04-13 600998 13.03 2022-03-29 13.28 2022-04-06 13.08 2022-04-08 13.6 2022-04-13 0 false
dltp-00-2022-04-13 601015 5.53 2022-03-15 6.15 2022-04-07 5.94 2022-04-11 6.19 2022-04-13 0 false
dltp-00-2022-04-13 601019 5.83 2022-01-27 6.6 2022-02-24 5.94 2022-03-15 6.76 2022-04-06 0 false
dltp-00-2022-04-13 601086 4.03 2022-03-30 4.15 2022-03-31 4.08 2022-04-01 4.48 2022-04-12 0 false
dltp-00-2022-04-13 601098 9.34 2022-03-25 10.05 2022-04-06 9.6 2022-04-11 10.15 2022-04-12 0 false
dltp-00-2022-04-13 601101 8.15 2022-02-25 10.45 2022-03-07 8.75 2022-03-15 11.02 2022-04-08 0 false
dltp-00-2022-04-13 601107 4.25 2022-03-15 4.64 2022-03-30 4.54 2022-03-31 4.76 2022-04-08 0 false
dltp-00-2022-04-13 601111 8.97 2022-03-29 9.5 2022-03-30 9.11 2022-03-31 10.25 2022-04-12 0 false
dltp-00-2022-04-13 601116 7.76 2021-11-29 10.49 2022-01-13 7.76 2022-03-15 11.18 2022-04-12 0 false
dltp-00-2022-04-13 601188 3.17 2022-03-15 3.41 2022-04-06 3.34 2022-04-07 3.44 2022-04-12 0 false
dltp-00-2022-04-13 601211 14.84 2022-03-15 15.91 2022-04-06 15.45 2022-04-11 15.79 2022-04-12 0 false
dltp-00-2022-04-13 601212 2.86 2022-04-07 2.92 2022-04-08 2.86 2022-04-11 2.94 2022-04-13 0 false
