date==dltp3l=2022-04-15  ma_n= 20
day industry code name turnover_ratio pe_ratio industry_cnt inc_revenue_year_rank inc_revenue_annual_rank cfo_sales_rank leverage_ratio_rank
dltp-00-2022-04-15 000001 13.68 2022-03-15 15.2 2022-03-24 14.68 2022-03-29 16.42 2022-04-15 0 false
dltp2022-04-15 000046 1.6 2022-03-15 2.04 2022-04-08 1.86 2022-04-13 2.26 2022-04-15 1 false
dltp-00-2022-04-15 000048 17.36 2022-01-19 22.83 2022-02-10 19.65 2022-03-17 25.27 2022-04-15 0 false
dltp-00-2022-04-15 000059 6.39 2022-04-07 6.56 2022-04-08 6.48 2022-04-11 6.62 2022-04-13 0 false
dltp-00-2022-04-15 000089 6.47 2022-03-15 7.09 2022-04-06 6.87 2022-04-11 7.16 2022-04-12 0 false
dltp-00-2022-04-15 000099 6.38 2022-03-15 7.03 2022-04-06 6.77 2022-04-11 7.08 2022-04-14 0 false
dltp-00-2022-04-15 000166 4.24 2022-03-15 4.48 2022-04-06 4.36 2022-04-11 4.47 2022-04-12 0 false
dltp-00-2022-04-15 000333 55.36 2022-04-11 57.44 2022-04-12 56.57 2022-04-13 58.72 2022-04-14 0 false
dltp-00-2022-04-15 000404 4.12 2022-03-15 4.62 2022-03-22 4.49 2022-03-24 5.04 2022-04-14 0 false
dltp-00-2022-04-15 000416 3.83 2022-03-24 3.9 2022-03-28 3.83 2022-03-29 4.28 2022-04-15 0 false
dltp-00-2022-04-15 000419 4.68 2022-03-15 5.1 2022-03-22 4.95 2022-03-24 5.58 2022-04-12 0 false
dltp-00-2022-04-15 000540 2.2 2022-03-15 2.42 2022-03-23 2.36 2022-03-24 2.65 2022-04-06 0 false
dltp-00-2022-04-15 000559 5.05 2022-03-15 5.5 2022-03-30 5.31 2022-04-07 5.56 2022-04-12 0 false
dltp-00-2022-04-15 000571 1.98 2022-03-25 2.1 2022-04-08 2.04 2022-04-11 2.12 2022-04-14 0 false
dltp-00-2022-04-15 000600 4.03 2022-03-15 4.22 2022-04-06 4.15 2022-04-07 4.21 2022-04-08 0 false
dltp-00-2022-04-15 000603 11.98 2022-03-16 13.85 2022-03-25 12.94 2022-04-07 14.34 2022-04-12 0 false
dltp-00-2022-04-15 000609 4.33 2022-03-15 4.73 2022-03-23 4.57 2022-03-29 4.99 2022-04-12 0 false
dltp-00-2022-04-15 000610 8.1 2022-03-15 9.67 2022-04-06 8.96 2022-04-11 9.86 2022-04-12 0 false
dltp-00-2022-04-15 000651 31.78 2022-04-11 32.46 2022-04-12 31.96 2022-04-13 32.49 2022-04-14 0 false
dltp2022-04-15 000656 3.83 2022-03-15 5.29 2022-04-06 4.49 2022-04-13 5.21 2022-04-15 0 true
dltp-00-2022-04-15 000669 2.22 2022-03-25 2.38 2022-04-08 2.26 2022-04-11 2.38 2022-04-15 0 false
dltp-00-2022-04-15 000683 8.46 2022-03-17 10.12 2022-03-30 9.18 2022-04-12 10.3 2022-04-14 0 false
dltp-00-2022-04-15 000686 7.35 2022-03-15 7.91 2022-04-06 7.7 2022-04-11 7.94 2022-04-14 0 false
dltp-00-2022-04-15 000702 4.9 2022-03-15 5.75 2022-04-06 5.4 2022-04-11 5.75 2022-04-12 0 false
dltp-00-2022-04-15 000721 4.37 2022-03-08 4.91 2022-03-21 4.61 2022-03-31 5.41 2022-04-14 0 false
dltp-00-2022-04-15 000735 5.91 2022-03-15 6.45 2022-03-23 6.34 2022-03-24 7.04 2022-04-06 0 false
dltp-00-2022-04-15 000758 4.45 2022-03-15 4.79 2022-04-06 4.54 2022-04-11 4.83 2022-04-14 0 false
dltp-00-2022-04-15 000776 16.98 2022-04-11 17.6 2022-04-12 17.25 2022-04-13 18.01 2022-04-14 0 false
dltp-00-2022-04-15 000778 4.46 2022-03-15 4.95 2022-03-21 4.59 2022-03-25 5.36 2022-04-08 0 false
dltp-00-2022-04-15 000786 25.74 2022-03-15 29.38 2022-03-22 27.64 2022-03-29 32.27 2022-04-14 0 false
dltp-00-2022-04-15 000793 2.52 2022-03-15 2.84 2022-03-23 2.74 2022-03-24 3.03 2022-04-14 0 false
dltp-00-2022-04-15 000878 10.7 2022-03-15 11.73 2022-04-08 11.2 2022-04-11 12.16 2022-04-14 0 false
dltp-00-2022-04-15 000900 3.93 2022-03-15 4.19 2022-03-28 4.16 2022-03-29 4.69 2022-04-11 0 false
dltp-00-2022-04-15 000933 10.81 2022-03-15 14.9 2022-03-28 12.63 2022-04-11 15.38 2022-04-14 0 false
dltp-00-2022-04-15 000937 6.84 2022-03-23 7.19 2022-03-28 6.89 2022-03-30 7.95 2022-04-14 0 false
dltp-00-2022-04-15 000975 8.1 2022-01-27 9.55 2022-03-09 8.12 2022-03-15 10.58 2022-04-14 0 false
