2023-01-27	3732
2023-01-30	3753
2023-01-31	3732
2023-02-01	3748
2023-02-02	3735
2023-02-03	3745
2023-02-06	3737
2023-02-07	3733
2023-02-08	3743
2023-02-09	3732
2023-02-10	3759
2023-02-13	3760
2023-02-14	3759
2023-02-15	3759
2023-02-16	3742
2023-02-17	3747
2023-02-20	3771
2023-02-21	3757
2023-02-22	3758
2023-02-24	3778
2023-02-27	3781
2023-02-28	3767
2023-03-01	3759
2023-03-02	3759
2023-03-03	3769
2023-03-06	3768
2023-03-07	3758
2023-03-08	3768
2023-03-09	3770
2023-03-10	3768
2023-03-13	3773
2023-03-14	3771
2023-03-15	3749
2023-03-16	3767
